"","1","10","108","11","112","113","114","118","120","121","123","145","150","156","163","169","17","171","180","186","188","194","195","197","198","201","205","206","207","209","214","219","220","221","231","232","234","249","251","252","257","259","261","263","265","266","268","269","27","273","277","283","285","287","295","303","306","307","308","309","31","310","311","312","313","315","316","317","318","319","320","321","323","324","325","327","328","329","33","330","331","332","334","335","336","337","338","339","340","344","348","349","350","351","352","353","354","355","357","36","360","362","363","364","366","367","368","371","373","376","377","378","379","380","381","382","385","386","389","391","392","393","394","395","398","399","400","404","406","408","417","419","421","422","56","57","6","72","74","78","79","82","89","90","96"
"1",0,7649.62303945177,16029.1146711514,7793.08769743639,20731.3754318647,21352.3344411255,14612.9570134611,22405.6915039224,20997.9476771848,21487.5437847388,7440.90936932054,14742.8759752546,6419.43451377447,7894.27387732577,11505.120386805,12172.4102293208,26560.8532901598,13478.1477586491,10171.5824680475,15156.4405998413,11756.1946988859,74828.2512034925,79221.0271983513,67050.8824627002,67316.4419601902,70133.2512961986,72478.043120098,79905.849510196,73677.1521006956,64590.6060027379,63639.0218846337,66214.0516257387,76947.108270575,64802.0802723617,62482.0104971776,57726.1477379065,60708.5775196873,72086.9928976023,73620.7226717479,78491.3435742944,70001.1194741791,68584.4083847443,82959.360175381,83680.3448624639,83181.1374752762,87977.1143102094,83484.9310212285,85320.0689664413,9891.15908726692,85676.884798626,87868.4879645538,76788.84311577,69500.7174097913,68180.7179881449,77803.755807075,69208.4472185525,79722.083237071,74005.3270115986,74865.79427306,86020.962815771,7650.29638963666,85418.4406553971,81120.7772142606,77940.0168384664,92335.6778063538,80766.8041941672,82549.1401893886,82853.1249731561,87721.3958927783,82515.8202844791,82229.5880116035,80505.1497171432,76971.6497064224,82235.3020054944,85522.9684759066,82285.7434876372,83756.6112719648,86599.0533111172,5848.91222076476,86853.7967747185,89308.4988759647,92711.7178645016,90468.603193926,89356.6009229539,87103.88475832,74751.3366040483,74612.8445434349,85710.7246457725,85111.8451589587,92909.3030924108,95863.2872475342,89374.1627026334,89610.6914088412,82007.1723328772,80598.212422143,76349.9535748695,82280.662942288,82595.318593337,42434.3629331832,12905.9646115541,43752.6152542095,45379.2942030766,46251.0134275169,46916.6905991865,47658.8523276769,47296.4754020584,44233.1642720765,49187.4039948149,44940.6812741853,43622.1766082561,43321.0433162331,42315.2961731444,41404.5011006487,42092.4907727824,41825.7257597124,39587.8604321866,38873.3225561214,40036.5781626721,40253.615267284,88512.166924536,131487.324006524,41611.1487612049,84463.8698667308,51348.8015878367,128592.844166586,94251.847824536,34204.0428353477,92165.6684136011,84836.6080294608,44121.8184552169,106261.248571569,81097.0947720251,82650.6578783046,81159.0345378107,21539.3073514332,23421.4627223062,7559.0855473771,38522.3544362884,31376.7453585722,30564.6467288028,28010.1830655313,32891.5109142941,43102.9018006189,29060.307819976,31965.4482180909
"10",7649.62303945177,0,9052.64332351079,1952.16070505845,14532.9425082086,15662.4428436198,7057.18623691347,14992.9981585422,13508.9152978012,13840.9830867377,223.485456160633,7098.78622187862,7555.92917423414,11282.8071097296,4509.37311467596,18678.6601403772,18936.8747182863,20464.7365101228,13990.4051465144,15190.1130289913,12550.4409429255,74101.1703670919,78775.6970023214,65677.0349081201,65341.5632756236,68290.8325646355,70598.5592615117,79269.1492350827,71825.3811644893,63518.2833558105,62884.2267403929,63840.4751105258,75923.267949175,62811.1734777137,62119.3182032027,56489.0605392578,59907.6906361366,70986.4020203385,72516.876366399,77591.202314151,69372.6583289628,68047.4976938958,82461.7295322164,83084.2148666317,82457.1597498527,87420.3345260074,82483.0879384552,84588.5159786636,16166.2519244521,84753.9855718778,87216.492409403,75185.5830508164,68332.4832704434,67821.2082958055,77392.5961534284,66893.4493946075,76312.1115063807,70746.5883841222,71500.9446496676,82351.959195021,52.5412022114094,81654.6267066247,77380.548769325,74214.8154406598,89209.15955853,77731.8672675303,79553.5727174777,79988.0408695021,84285.7936854239,79637.9428099963,79637.7985864583,77760.174207729,74605.2058999286,80194.4890901545,82186.9568162035,79823.8411919083,81145.047490996,83904.9589084343,11756.2609414401,84283.9266342112,87014.4383609753,89920.0904460571,88252.8585140416,87216.9799171721,85076.0515746055,71848.3903349141,71945.4533124927,82123.9590337156,81732.808113242,90232.1024383114,93224.3760376901,85985.9980912048,86161.8699325049,78503.5087792052,76950.2112101049,72712.6017643326,79182.0379343907,79370.1800258451,42502.5923000218,17633.2912674199,43483.4088697179,44629.3326612397,46086.6948318871,46331.1881942237,46772.5748382227,46166.2297574979,42999.5149839153,47686.2899463702,43396.6486210226,41644.0197839506,41059.4324796007,40609.663203446,39585.0029292477,40742.6699718826,40653.5103583242,38232.8693611898,37887.3577867563,39281.8701025217,39918.550242537,82347.3535692795,129630.364238121,36561.6632059375,79083.9132243369,45896.9327642683,126827.24134354,87967.7590566287,30213.5938939812,92452.8012700182,80487.7774839389,41867.4794456572,101782.727068172,75246.7184880905,76447.2939534092,76097.8281515413,16026.236308891,17240.4408550074,114.458741097111,31714.6818003296,23789.3370161286,23648.2486681319,21604.7737254623,25241.9598686149,35731.0770835347,21654.2059882067,24322.0025549108
"108",16029.1146711514,9052.64332351079,0,8261.29527202387,5919.0968524813,7571.08591963078,6523.67957140051,11549.1475404264,9955.13228996059,8228.35771193536,9187.61104380144,5313.9385655172,12506.7392142016,15966.0321389106,4598.35376414016,27673.6615343771,13098.6357011731,29342.0791779799,22913.4395208679,22711.3416800235,20720.1600410847,69268.0234499056,74188.681539045,60279.2709413181,59347.8842159976,62392.6951183567,64639.4257178648,74476.3374937148,65880.7581109619,58461.475115171,58171.1677298834,57479.9824461269,70763.836369638,56833.4667355026,57839.6959359639,51377.5245917047,55195.2053268974,65802.0829958107,67311.8164327303,72541.9427997794,64700.2270609577,63489.9608675579,77784.1709663135,78298.109168914,77543.9551067313,82638.5411423434,77284.8728147907,79649.0540756623,25180.1674315536,79617.0832327507,82337.640391739,69451.5195373055,63110.7834995048,63456.7080156669,72856.053502621,60554.7138633971,78215.4972121834,72914.4508585256,73522.2843145868,83846.8845761163,9023.90325833536,83028.243726007,78832.3191003627,75724.4018617391,91348.7293178982,80097.7482532163,81948.8823299785,82539.9798666262,86071.7201173473,82177.8296576436,82523.4401296606,80482.0095356916,77810.068452491,83710.8385015705,84123.1314196747,82861.0021987777,83991.8641517291,86626.1381254507,18235.540774062,87150.3075718757,90179.9737308398,92470.0378375687,91498.1845891491,90557.9265634024,88561.7404581212,74447.4775986255,74828.4919303396,83731.3615111449,83617.7267057327,92918.3257345046,95933.0903676644,87817.966332774,87912.88844806,80259.2702878409,78531.3678745423,74359.3535032593,81452.3246345041,81478.0571286437,39217.5910796403,21929.6609108808,39776.3456921312,40342.8094945051,42407.0892813454,42172.0468991036,42267.8840594915,41413.1528880896,38234.9673383489,42491.7208806785,38281.2134520294,36120.2270942434,35254.4255748629,35415.2409662892,34305.2616111718,35932.4576915036,36043.0631530277,33520.1577191844,33604.4590142678,35196.4759152601,36281.4399501108,79800.6038427029,133049.183303564,37019.166052002,78024.318225637,45301.8988824929,130359.137705059,85132.6177913432,32627.7800120475,88529.1708939948,81046.7548460574,45837.9381901335,101972.570465806,73381.8397914324,73876.6009754827,75604.2203915116,17771.7390824073,17394.542165691,9166.72292395071,22675.3658996686,15984.7906262487,14627.2163465309,12625.4209229986,18331.0583915168,30679.1456405997,17227.6485340114,17106.2534631051
"11",7793.08769743639,1952.16070505845,8261.29527202387,0,13336.9169057261,14283.1961695527,7824.4077945556,15786.25039701,14226.6164349636,14148.1787033454,1873.50604809682,7562.97797993761,6110.81844976928,9934.55735238685,3712.13301356023,19488.7310464367,19326.1504346219,21091.1849820016,15368.7714119287,17058.2740271727,14317.666148185,72158.5039318941,76827.5420509069,63756.300352547,63456.1806446117,66397.5255372198,68708.5310417286,77324.8688745353,69933.8948145039,61584.3593732105,60940.5664109448,61985.7524454696,73990.1299610126,60925.8514785846,60168.7236919056,54559.4117098009,57964.6300081471,69055.2117005852,70586.1248534151,75654.0617009593,67427.0578319821,66099.9413940722,80514.7944609545,81139.3780196913,80515.4189883113,85475.0005518056,80550.1937880328,82647.2135095806,17026.5239493234,82818.6053640309,85273.3648456776,73279.5943099657,66403.383353654,65871.0082354716,75443.7934000774,65035.1400494436,78139.3203861468,72591.0277502325,73334.8461128045,84148.5997621383,1899.72602797239,83440.4188385599,79171.0584733311,76008.6274195427,91058.9249581006,79593.3341396971,81417.6996304958,81862.4896468766,86107.2238925079,81511.5095595021,81531.9349536899,79644.2989702325,76514.4910404535,82118.8748656371,84019.238871736,81726.1594409348,83037.4543383931,85790.935174102,10962.0716770114,86178.2853450844,88924.8555781514,91797.3798296045,90167.2477190129,89135.425165943,87000.1310275017,73722.7642313589,73836.9213594977,83929.9852890622,83560.9653042459,92117.6980177519,95111.9934692657,87811.7045699212,87981.2553402964,80320.0493867547,78751.5898815572,74517.2290072474,81037.5095811447,81214.1504285702,40552.5602085271,16329.9173064865,41531.2487585829,42681.6985402594,44134.6004320364,44381.3665747726,44828.4104640431,44228.7757733278,41064.1192861802,45764.4487359008,41474.2957750271,39744.465329304,39179.1151023612,38693.3569284979,37674.0274734863,38810.2950263491,38714.8565924259,36299.0807739112,35942.2930153093,37332.8933275706,37966.392140177,83638.8423965018,131556.956519622,38197.7893182057,80595.7181088322,47427.1401498504,128757.747861325,89215.0331415997,32027.4114387948,90501.2880079044,82194.5579759708,43795.9765338732,103460.141041235,76639.8923496233,77729.7883741313,77680.9698421412,17674.2505694755,18695.9431600523,2019.02852241259,30875.1940335658,23687.4771936322,22861.9188709954,20539.5099894613,25430.6776439319,36448.4579883545,22394.2192767061,24414.5492797839
"112",20731.3754318647,14532.9425082086,5919.0968524813,13336.9169057261,0,2082.46895581206,12208.2322959131,15101.6042421942,13764.6338467957,11098.7558680347,14630.1957946421,11005.8700379398,15918.2068808067,18665.18313678,10046.6922946641,32759.9602448855,14575.2307769848,34208.6060636109,28521.6237654018,28628.48831891,26582.3028814745,64347.9703062042,69364.8847355174,55140.3714084579,53961.5647765535,57034.823568327,59250.7283797968,69556.1750211016,60494.361267393,53485.9479478232,53360.8037395826,51958.7075977792,65691.0652735287,51462.3303970002,53246.4136885139,46418.174303937,50403.6666025549,60735.7733000862,62230.7041328777,67512.2509274639,59875.0496556201,58725.8936632422,72906.2168461293,73368.9289046226,72559.6692169389,77699.0340004861,72175.9338100098,74647.0842080248,30330.1963538539,74528.5676667332,77355.4529673243,64139.3903871243,58038.3974825428,58787.1594935065,68060.9351098393,55033.1081748801,82427.0721456008,77267.614683241,77807.99623742,87845.7242825598,14496.1705171562,86972.6829133614,82832.2078452225,79766.103046677,95618.9370432413,84506.7553042744,86363.768928509,87020.2279529478,90198.2623126898,86654.1921963526,87143.9323851045,85041.3537485346,82575.1463835811,88579.206640041,88325.8546835812,87542.4401203736,88591.5497859642,91164.9316278372,21681.2029787485,91748.436809783,94892.5329538305,96918.3168551386,96239.5682189708,95339.8407548557,93405.5119156628,78978.5862779224,79475.4195458503,87783.6815311871,87798.9819114027,97424.0401919617,100440.489807819,91959.5207796178,92016.5898063838,84394.7304379033,82593.389197025,78471.4579407866,85814.4711243348,85768.2208817196,35389.2933996053,23773.1735811157,35692.0059688964,35922.5426853099,38294.7344247385,37795.3138178588,37702.1488066436,36726.1508596823,33585.2747537221,37565.5420014426,33444.4367805687,31101.5975429088,30106.0140364142,30578.0586256117,29440.260149636,31294.658854053,31513.8849274854,28982.0406818206,29311.8440546023,30983.3842199909,32307.3469145697,81553.8651762613,137789.824564996,40958.4255075998,80706.5461918471,48565.3282413392,135149.027633436,86663.5725084956,37456.0931210862,83975.8198690905,84596.7490031775,51034.7950366645,105246.043025611,75611.6239155733,75653.8649495208,78622.7358521614,22847.4716159222,21955.7350552602,14646.672205622,17941.3492867404,14647.737095799,10313.4765371781,7282.28405719056,17964.071614362,31376.0170383187,19313.7449585406,16485.5065452663
"113",21352.3344411255,15662.4428436198,7571.08591963078,14283.1961695527,2082.46895581206,0,14024.9355700999,17184.0608776727,15843.5570048281,13178.5192017394,15735.7102258811,12813.7269233184,16096.7884321952,18501.1771975198,11278.8479640314,33486.5730010411,16540.4553160237,34804.3583913284,29620.182146215,30147.1086598094,27958.6845524739,62286.7602497191,67296.0661585928,53105.4231111364,51979.3283844894,55045.4823462064,57270.0664190355,67495.4824853067,58513.2512386421,51428.9677316897,51289.5115217281,50020.1533639996,63647.7601859806,49475.4483258012,51165.5482842257,44358.2371085268,48330.8078349469,58690.941291288,60188.1305514893,65463.4532383992,57805.4936451097,56652.2810529663,70841.9705519423,71309.444776898,70505.9499489228,75640.9287797446,70138.600252824,72595.6009754126,31106.6304626837,72488.4419674151,75301.9065085486,62139.8050553126,55994.0094376873,56708.9940796959,65990.0210148981,53095.2038132949,84509.5381055183,79348.6848078078,79890.0283527782,89925.7890099758,15621.5656487701,89051.4332268257,84912.4480167916,81847.2257800752,97701.2584110937,86586.8318650884,88443.7510606126,89098.3234915697,92280.312570299,88732.4048703335,89215.9028566988,87116.2633366715,84637.2244111822,90632.5022626762,90408.3192105822,89610.8229134885,90664.6826055403,93240.9786827795,21743.8893197914,93821.7850123274,96959.2206849269,98997.6775335098,98304.262822315,97401.3409644823,95461.487688839,81054.4370637406,81545.461354425,89864.7909554939,89881.4016524116,99501.5708708389,102518.042408683,94041.6857023812,94098.3700845339,86476.9202908668,84674.7666872512,80553.5218110141,87895.5730408254,87850.3105425667,33340.3517759942,23207.3620807343,33623.4896556544,33840.7939146658,36223.6232656194,35714.162790956,35619.9952097749,34646.5030301357,31504.1870341953,35500.3546444714,31371.2831292523,29043.4731365192,28064.913692858,28504.0982101873,27367.716592372,29213.0681678604,29431.4238016845,26899.6003747868,27235.0787482176,28909.6467802001,30248.3486081546,83406.6074413871,139855.959399859,43039.8800380696,82690.7953236472,50615.5997858336,137211.341530014,88476.0712042518,39504.6074136958,81895.0556550044,86658.1737842851,53036.7009297923,107285.373649143,77539.6459999629,77513.4963897172,80643.2788552599,24852.4021206051,24015.3019173243,15773.9246370437,17899.2725255443,16098.813877922,10761.177708416,7125.38410175003,19586.411253633,33112.0998457302,21307.9870404397,18074.4136023259
"114",14612.9570134611,7057.18623691347,6523.67957140051,7824.4077945556,12208.2322959131,14024.9355700999,0,7978.34341460705,6458.55530976817,7040.75592421984,7278.72636542203,1212.58301973169,13859.8262667379,17694.5043327772,5570.91650152071,24634.944638327,11973.1065276745,26703.9579009478,18699.1993721444,16958.1988963314,15522.7286308326,75699.6424701483,80586.4222698663,66770.560042626,65870.7184387106,68913.8974685631,71162.1661929357,80905.6182201448,72403.3577271404,64914.7711573266,64575.0498758362,63999.0420894239,77237.1109647761,63355.749626481,64165.8405971065,57831.0493978551,61595.5518388092,72275.4112229544,73788.1849825824,79003.6459560529,71104.1102212545,69873.8196635084,84198.4746764447,84728.6568094555,83991.3580191439,89070.7470575225,83765.0699368995,86100.8521392892,22095.5212329871,86091.8447290932,88782.8883241771,75968.2581394388,69586.5402121002,69806.1344668129,79244.5231048749,67073.9442999668,72296.1891343192,66905.6643298611,67558.8979394262,78071.8260418867,7068.67798777404,77295.0032448839,73065.3631454241,69932.4267991927,85371.6051956755,74041.3591555858,75886.3958450418,76434.7843739544,80200.7386551893,76075.4951518348,76332.0829018139,74329.5805313722,71539.9119694918,77382.1143199176,78201.2070804332,76633.770039254,77811.5929472702,80480.3884306012,18710.1869978361,80968.2565701662,83929.8547005993,86375.4134549548,85231.4093193507,84269.9419466927,82242.7514959549,68319.5676070677,68628.9786071065,77917.2962625572,77711.5510767967,86787.5152174136,89798.8910418423,81933.9555365142,82055.6076550422,74390.7331988876,72719.0588087305,68518.2661246546,75425.1962981574,75499.4184871126,45254.8932620249,24081.9005364849,45930.2991238539,46634.7010023149,48563.3505385518,48441.7022949544,48609.0854153434,47797.5779546522,44613.7492888281,48944.5310979461,44715.8865080471,42601.2178627256,41758.9064350116,41854.8163176194,40753.9023249852,42312.8938858318,42387.1800581919,39875.1468359109,39871.4035880577,41425.03623489,42402.5124678244,76003.5391668607,126766.151297406,31492.3660947424,73360.5294047186,40306.7874778332,124051.777802148,81528.5850273442,26415.5306078391,94812.4507590583,75625.5401609947,39388.4404636418,96734.8813119921,69158.3664906747,70086.3111672721,70648.9946701432,11519.3771398178,11680.7131897953,7130.65883221842,26995.7119462259,17408.1674013057,18996.0244287974,18052.290916784,18422.1191341327,28696.2378808926,14621.0004614545,17627.401223025
"118",22405.6915039224,14992.9981585422,11549.1475404264,15786.25039701,15101.6042421942,17184.0608776727,7978.34341460705,0,1643.3559980657,4058.81019472902,15216.1613826271,8307.31672490885,21753.1416330082,25576.3174641988,13070.6383903442,31418.0219728202,5285.52518966109,33693.378299224,24749.5485495862,20833.86487023,20591.4908280641,79322.2554151689,84382.3808743,69971.8884473312,68501.2429782324,71606.7747786464,73768.3918166713,84525.2391695366,75011.7441163104,68442.1461878244,68397.2025379129,66262.7749281689,80560.0208225737,66034.446319938,68337.572480067,61395.7960797704,65449.7485657877,75617.562697048,77098.2302333611,82412.1024966367,74899.5104201303,73774.1298853038,87895.3335785046,88329.2957572677,87485.8749393377,92649.4601331339,87004.7204539846,89558.8739787528,28925.1373147132,89372.3330027548,92278.4115186096,78756.0719313341,72920.0236852702,73861.9443408152,83091.2430548087,69321.7159564732,67325.7361613317,62181.64028608,62711.9807828558,72762.5409405526,15008.4521995387,71900.5556333061,67747.8148364528,64674.4906986369,80519.544088835,69430.186905593,71287.9852481133,71962.4192310772,75099.1612750545,71595.3144301415,72143.4666078825,70013.9225506828,67668.4734003299,73749.4810213959,73224.2732589456,72575.0700377716,73579.9334260748,76125.7824780222,26687.8718484558,76734.1403957343,79938.1735274234,81847.7242203146,81302.7546011933,80432.1461051416,78548.5194412236,63943.5032503631,64495.5496080346,72691.9426398597,72697.4761807168,82370.3882375276,85386.3463087892,76859.5901978292,76919.492907191,69294.6574210435,67499.6162983472,63372.3424495226,70727.7764776712,70671.4582463984,50336.863288596,31936.4822684624,50730.9031869023,51021.6072774836,53344.4054374024,52891.7615858554,52801.4684763925,51812.0205647686,48678.9788022613,52577.6049758452,48498.8077789762,46086.5630522106,45013.9695629555,45637.8453336109,44494.1116561701,46391.1354142505,46615.4838666218,44083.6354139879,44390.6216943518,46048.4829261387,47305.6867738317,68483.7418772515,122831.119308097,25866.4173982783,66476.6208985069,33801.0612062017,120223.198563881,73914.1888154206,22802.6352545761,99065.2424256095,69675.6693383254,36807.7407070559,90502.9991515151,61904.2160231582,62559.1456465288,64072.3822298883,9418.53984412754,7439.12860299544,15058.9335320329,24297.1592084074,12218.9708433317,17213.9006580813,18114.7360390803,11795.7241815492,20739.0527511541,6664.87975512644,11481.8217277368
"120",20997.9476771848,13508.9152978012,9955.13228996059,14226.6164349636,13764.6338467957,15843.5570048281,6458.55530976817,1643.3559980657,0,3039.40831756494,13731.2196215365,6706.93694699212,20157.5934322791,23975.1401516486,11442.4884341042,30336.3430986571,5997.23907805888,32559.7570189473,23826.089719972,20352.5078001678,19855.5550100302,78078.0638541643,83115.0422210571,68785.5048146866,67403.4025651708,70501.4351088851,72678.6257628763,83284.0988819806,73922.5264121973,67205.3384695808,67117.1201070182,65222.6669847998,79361.7570539851,64926.7205920575,67007.8581145031,60147.7423512628,64162.9421631374,74413.4776427201,75899.9487542646,81201.7664914914,73627.4030837171,72486.1598032285,86644.1906242598,87092.7125346291,86264.9191987567,91417.9583995679,85822.5741183871,88344.3725464492,27825.1105607112,88184.9673736534,91059.3477266299,77640.5034768846,71715.521573915,72551.7917691092,81815.8764310911,68287.0309750992,68693.067671392,63508.4151846589,64058.0141555943,74181.9123154565,13521.8714278629,73331.6921875565,69166.3140937123,66082.949180158,81874.8695596502,70743.754983045,72600.5529939328,73255.6662029863,76489.3976324999,72889.5940274632,73391.7432677142,71281.3108150333,68862.2495624051,74907.5611446566,74595.3376125827,73802.6144592634,74835.901560636,77402.5921328637,25156.3770960545,77992.124478972,81158.7358601883,83154.1215524357,82513.7327459786,81627.8634040621,79719.6031263335,65216.7035216393,65730.0378267071,74099.2319549481,74073.8329997931,83659.7980881626,86676.226337703,78246.5149839097,78315.4588570287,70681.6265793173,68903.8277446124,64763.7192546278,72055.3559888151,72018.9565127356,48876.1943034448,30326.3139906969,49304.6436023855,49648.5245889862,51922.9410943283,51512.2923311349,51456.2514499286,50490.0565832408,47346.2585409379,51310.387321881,47204.9671949688,44831.5716575504,43790.8018839385,44339.8023631379,43200.2291461161,45053.5837138984,45258.1138417133,42725.3067918655,42992.4626303478,44639.2956971791,45863.4715206582,70127.0071091864,124056.153346224,27286.3682693342,68084.5512152619,35357.8689526673,121430.605786762,75556.8177423915,23855.6741161417,97737.417401462,71180.9915604328,37729.9113029434,92047.0962236887,63538.5106302486,64202.4302351344,65650.0759957022,9904.42466694901,8347.94113249587,13579.4274339494,24098.2926730712,12540.3981677109,16728.4630040765,17270.2905502633,12615.6322431338,22240.3316462092,8170.25954357345,12116.3573127933
