"","1","11","131","133","134","136","143","145","147","148","149","15","150","153","154","16","162","169","17","171","172","182","185","186","19","192","195","200","203","206","210","212","218","22","220","225","24","240","241","244","246","249","25","250","253","255","256","257","259","260","261","263","264","265","267","268","269","27","270","271","272","276","277","278","280","281","284","286","291","293","294","295","296","297","298","299","300","304","305","312","321","322","325","329","333","337","339","341","35","356","36","362","377","38","383","390","391","393","395","4","40","400","401","402","405","406","407","408","410","411","412","413","414","415","416","417","418","419","420","421","422","43","44","45","46","48","50","56","57","58","62","66","7","76","78","99"
"1",0,674882.173906761,1190472.03867457,1100301.73895702,656762.137621048,659996.575541593,582250.881539449,1166162.96393024,328483.038906817,743356.046230456,1007709.42414405,1032852.63151325,301714.064090852,1202759.65150828,1077396.94255049,1796066.17097305,493188.527476047,1046828.49696261,2065108.99939525,1182175.07898499,410927.3101072,855976.929365653,122102.745927003,1060952.35763295,566326.912991085,1066434.08275425,6939761.98257557,7027074.07689769,6358755.54444972,6951808.90738705,6809663.10563615,6732800.07825353,5809404.73196913,1409868.46433739,6779040.23863766,5302491.67156216,1255757.10219324,6328211.31763892,5184124.20054388,4681308.46884199,6436553.45097529,6235524.8856426,304428.145999021,6301773.48168258,6807570.70971117,7326200.40609717,6050417.70667428,5677090.78935593,5877683.79857259,7284574.46118636,7341911.67145724,7405702.15229357,7602792.41453091,7145259.70912623,7373026.78155255,7405113.38158297,5724976.62764821,794656.710186933,7541514.84727564,6930696.4562349,7464488.54104642,7601755.82844598,7793934.88245592,6464962.57959431,6387301.07402125,6842320.60191849,6659709.12518182,6123609.00638848,6046931.09252793,6289156.29601133,6081343.78109169,6815609.00869977,5500594.58177278,5012530.67216297,7397798.23933554,5057425.914792,5662098.0931788,6932868.65276236,7141811.66885154,6937440.89879189,7102969.35954355,6948653.15426952,7348133.4514499,5387154.25477419,8119620.27022308,6622968.42311868,7018336.97689444,7576864.28985846,595968.359657187,495194.935553597,1142953.51659569,4034219.25465351,3859904.95947637,666697.887075704,3710931.80458325,4284175.46758871,7966103.55050633,3745006.78773846,4621387.44071752,555198.78571296,631167.122093917,3078366.46649387,2098396.86965999,6792317.50405087,2428650.73613312,7380793.38222389,7678660.10158985,2294338.97185312,7748534.56448521,8397129.09382312,7413279.36397472,7404458.71063995,7646211.31200143,7524723.68923528,5535796.14933661,4888028.06041703,7851659.82469705,7193320.4159881,7332177.28761039,4132541.15898102,7304320.76893001,1592595.66105127,1454457.17347612,1024987.24884082,901355.386947577,629158.281668294,1333210.49606266,1852378.27829252,2102312.83610048,1586379.99996905,1077881.03298659,494890.300192484,1020170.33548221,2352675.32221351,2512417.01757226,1542139.22006913
"11",674882.173906761,0,15295.104317101,29230.9758942232,3318.13271472323,3397.99676278068,3563.16103487097,56722.3348495321,12172.6106000695,13351.2006038389,27460.0997270716,1575.406068763,241988.410610864,38890.700845074,29793.7669048866,54649.7975908395,6621.34462090381,11693.238627862,171036.431346404,23419.6518040146,33936.7996317931,13348.558100098,13646.0330536394,283167.348851067,22052.0258457189,9283.10453107045,76819.8592967018,205149.698535086,109620.521598988,30922.2150629266,122801.837049292,153099.655594508,120474.43549682,41573.6686665549,110977.795928523,133752.512813859,54517.1052681783,130517.499060343,157588.920334783,116982.696039819,146210.880524428,6912.4266912286,23030.9265480878,48800.9987885305,123571.824047908,266744.153771808,95672.7911229387,370855.560781685,59496.5572488044,127556.302729713,152978.109475814,154148.59036181,239123.294716891,56368.8448337168,183685.838880407,169147.35193549,1611628.92815817,106586.039922764,124241.915254566,158788.141659962,146943.404637743,89896.4381190993,179065.538839438,504432.254081774,335734.06169117,176941.178829214,214703.248167468,159334.108543812,181530.323906817,108924.110397923,39874.4466709698,75436.2490207374,235654.749796814,726163.377747981,32782.0355350846,397435.240067219,30842.3125009501,472481.508857184,129683.362506778,183173.191218356,129812.242891582,142538.036312592,57141.4843566676,2092620.72669647,233926.903455056,147438.156186295,395822.203621746,127624.160574593,22322.879029,3976865.0824568,32006.6379207135,98163.6384727426,97943.8698443927,4219.01607851801,62701.3047952486,471669.406374627,284371.75806389,129871.784294399,161243.190727831,23195.4792444434,205628.567849862,108892.441288098,6536754.83034082,175031.671009041,46186.8084217139,32877.8231903883,281894.62447783,1515340.78807201,2081174.71664591,1272577.94630205,129811.67153796,263382.064686223,280993.690682563,5498719.88554572,24235.5024908414,4200481.72627414,280427.127257503,160943.773934209,223852.772559649,2844910.25449321,264114.861602001,17583.4248878135,47917.0434014397,9327.63354598766,13113.4905682108,6192.97611847905,131561.896159355,3050575.64829147,59079.1803857653,17248.4957455534,11716.0849651864,5837.79793772806,4110.47365415169,51874.4018786927,100592.44303238,40420.39825023
"131",1190472.03867457,15295.104317101,0,9399.14299966889,13357.2934732577,13400.7234184364,8720.72565928013,207195.658621407,4332.74660138412,328.467488945213,105423.704903706,5753.66121585689,457289.097709242,67306.2485970968,46892.6214518735,46953.8990721992,32347.8492125841,29340.3473087298,349853.901376257,4417.96379987785,32420.9705239853,26701.2778560097,30158.3345016124,498239.925249437,48391.8688389396,3096.69349189973,8233.55489061552,124740.559765208,45558.1776755576,33405.5267732177,175774.514518453,80707.3294279076,62491.8409764309,64463.8864776577,41632.122587546,78313.8723189319,87283.3674673314,62827.4855858979,99956.3811916307,68109.4466274031,76635.6636377986,61238.8863693526,14405.4398633176,11132.7344105286,173922.876371332,180279.403585596,138970.735350457,381610.283525106,103788.297865831,52253.3992815553,73875.7481251469,74710.0111123291,150375.860880548,115227.094844539,103966.078763631,89758.1084232014,1529477.87608652,135140.210260169,46771.0414350263,82655.2033432454,68387.6411451059,14524.9674027986,94506.3586898022,524565.878820221,367623.513346076,102389.135069362,136327.956727554,88806.9965410072,110972.63915472,44616.7431628545,16953.3887720677,8060.8385149981,258083.779300532,700596.269946142,36138.5321404652,402065.910359427,21267.5208207342,642658.840321122,70898.1090998505,140051.442620495,70523.9210560304,87474.0749236204,154647.326116282,2530342.5741695,178408.482835471,98908.9439689261,555798.632770095,63733.3013879751,75980.564775572,3410833.09462786,1268.29804853656,51244.5641724519,59188.5135447187,24428.3623330464,23932.0057743103,647900.099366609,254466.050829381,138203.009048992,162243.870267712,14918.7596018985,192793.994990697,120290.349756935,7738621.7186903,102080.62253561,29317.6002862488,47212.1794732107,249175.994899392,2044776.50219107,2484693.56042789,1566848.73828847,70207.8865906671,238868.849728557,248298.162864509,6140352.91439655,36977.4410330232,4967702.27259285,251483.601143492,114517.704654055,190885.441886164,3563440.7068668,237983.90770567,15539.7350589491,144726.598066725,21494.4426921451,12313.8814792459,72219.4728434525,288520.777553302,5972425.30658854,81755.6427006257,8429.50713594173,16095.2431163857,14509.5472188521,25251.1730812502,62221.3264407696,185361.899489974,60984.1497277757
"133",1100301.73895702,29230.9758942232,9399.14299966889,0,61037.9261403911,61216.7512687198,54837.1711247057,152306.331254845,40109.5032853795,16977.0933733682,44586.082024054,13006.913796648,475648.983247916,131543.177087799,20614.0909405552,119511.565043398,74418.9886962977,16850.8680153677,271225.257276013,43099.9294864719,64489.4002654947,0,143.865316220083,405644.776745499,2014.69535321177,58979.9410834786,187190.099505219,309396.614654903,214110.120680559,145903.517051062,14.885261820159,257731.954681884,219242.711102189,134712.758814542,218970.375621612,220931.247568914,22402.2610735977,227740.713110983,239244.203821182,194190.819336432,245357.258914343,98990.7593849262,38860.5567885426,149941.760409071,7.35709514425684,374991.601510941,12871.8002697474,246617.998956457,43192.025963159,243273.263872828,265137.411471215,268114.595820609,349989.925777668,68668.8749571893,299129.049278523,284989.566897182,1403807.95665885,75956.236377024,244425.139597238,263146.799059821,264357.944804446,213130.919044046,299018.857556614,365429.274076066,208392.278181251,283541.329917246,311653.443878354,247261.948727522,269666.924764443,209724.81233318,141016.471130983,183438.526536757,125611.183125603,593670.799099167,157479.801899559,286533.89193694,125061.901087409,391452.494805016,301369.083425313,363042.342747347,299100.892806764,310697.298440267,90082.909026222,2248323.41004735,431061.606854932,313057.255224491,306100.135645517,307615.529928279,24037.5945273042,3679454.21615241,16163.718098091,154907.363975401,165323.69279689,72418.2608234301,118193.543796001,467111.080502218,506559.371080834,272775.513395114,321404.84068528,40016.9587763826,126247.421144769,235174.707460606,7256540.01137209,282919.448018154,124772.494141121,195273.206446525,490279.417009866,1854302.58048422,2151051.72450104,1246190.56800069,310114.55562811,475433.556159589,488338.077896637,5670790.37998319,153057.722272861,4644111.77406653,500349.300294191,347753.347875832,426408.402481741,3340156.80513811,470464.136818404,91263.7734949179,74336.637587282,79742.7321887096,69548.206825113,26798.8020672443,208752.369229582,5884264.15523002,171946.179642444,85269.6478778504,7351.72773969605,10324.9023464637,16808.165857414,152531.525072046,105633.942846344,24552.3499095611
"134",656762.137621048,3318.13271472323,13357.2934732577,61037.9261403911,0,0,221.260473332362,66404.2567811661,4323.85145836932,11930.064490069,31466.8457265105,25285.7585438857,309892.615407776,16975.5451697578,55007.9951707372,15544.2080201265,3322.57861224578,40568.3773209213,199893.430324257,9901.34187291627,13986.1964856306,32607.3461883007,27170.9273389182,273369.378078585,38239.8849864872,8516.64168846173,47332.2691427665,85871.8709259624,0,95270.6748065152,252177.053967599,37480.3419426841,22872.2225942578,17207.2356421082,7598.65587251556,46231.844403609,81652.351618966,21238.3463137208,73330.9791052197,40642.7986509703,35857.4016366575,120908.91476196,5143.69873757708,64611.6475470259,253754.765195545,144963.593253668,211213.692122633,493448.764864893,170425.692654008,0,24792.9519805035,24963.9814468979,109901.114515242,189947.597142321,57364.3875438345,41319.5722979183,1787610.53317603,125198.30891536,8482.23064744406,38853.1086700699,16751.0415369445,45610.1535306339,43682.4535951974,645349.78094652,467706.733472449,60646.0417588545,103109.139921134,54778.3064815523,80296.9299215897,0,68529.3630782755,46501.8969940392,348536.042888225,855016.810399436,100847.0355033,510766.820555187,70134.5280215705,593809.008103012,2338.34106456258,60107.236917028,2339.04246019784,17474.0578923492,187308.670949299,2179495.79735972,87331.3780664624,28727.8675394792,518550.650824132,6557.04268525198,26624.4436259315,4248346.7345378,6325.72198667847,31332.8178641252,37104.283376836,99.924778326278,0,538886.80082269,148397.302610889,65864.1548599151,82699.8947530934,10104.2658517304,224225.505113278,54350.6376456983,6344258.33110972,60009.9209657967,0,96577.2998418015,146126.991125104,1512851.79723159,2224235.70267403,1424977.56694508,15.8958614503182,137243.407471615,145622.966733474,5663620.99251996,70719.2550111536,4295784.48816105,146250.774149083,37673.69512793,98740.3593219514,2923638.36233745,137054.142194121,2272.206639919,60758.8212940345,1003.562827001,1457.07975440473,367.94998447414,136021.49594953,2796694.17729805,27003.7378444634,5933.57433316053,43595.8516495062,26844.9888651252,18451.6794006493,23176.6029835518,143312.786554065,72326.5736549641
"136",659996.575541593,3397.99676278068,13400.7234184364,61216.7512687198,0,0,224.600261305586,66064.4559441503,4331.18132444138,11962.2273525924,31154.4786528951,25393.2884442587,312463.919648055,16870.9477161963,55267.9603483373,15519.302850402,3398.86959671975,40592.4127516223,199474.864946473,9909.66622316954,14007.7860530102,32802.0873251837,27306.0636761951,272623.919274973,38249.7092525389,8476.03520448508,47362.8170708624,85926.1817801575,0,95330.648874616,252322.992181377,37504.3018129601,22887.0356394481,17116.706693329,7603.45875440831,46266.538527613,81617.0960526311,21253.058628374,73389.66715589,40677.7693781804,35881.5568038029,120990.169085497,5161.32448175204,64657.3345245304,253910.017193401,145050.035373541,211362.774526416,493805.648703387,170552.556014688,0,24808.1409204267,24979.0126836778,109966.564067386,190061.396751853,57397.5067099281,41343.598655245,1788652.86421863,125273.603062431,8487.11525278411,38878.2788354002,16760.7963596319,45636.2549531844,43707.3335434906,645731.633685586,467991.75043528,60683.6379337912,103178.045883975,54819.18148387,80355.929025332,0,68575.8662860695,46532.5599506075,348800.660247627,855645.706812921,100903.828576006,511162.599327496,70185.6227999185,593370.914038518,2336.50155728608,60057.0775073865,2337.23504813921,17460.3431919235,187168.800983101,2177936.95441022,87272.6121387212,28703.7131412917,518160.585582719,6552.09140576557,26501.2226283454,4253334.87505466,6347.64590667325,31368.3378897217,37142.5628580667,124.489683754834,0,538300.839674891,148289.975063356,65751.7078272394,82588.3677518021,10165.3740661339,224621.316171712,54239.4339603952,6338676.3344252,60046.4200321949,0,96502.3349639229,146014.711968933,1510757.39992099,2222980.42651944,1424155.14292335,15.8833562631812,137135.657726525,145510.804672694,5661371.62543375,70644.2396401153,4293146.01776686,146142.814607033,37643.2776967684,98662.2483913559,2921366.03961181,136941.962554053,2260.60610873019,60442.9537028246,992.30157801849,1447.21227865158,337.811983384121,135421.212214398,2785821.09463015,26908.6768393139,5905.605238623,43687.462445298,26925.5769771948,18552.2602225695,23160.5428175269,143275.650631689,72538.9388744335
"143",582250.881539449,3563.16103487097,8720.72565928013,54837.1711247057,221.260473332362,224.600261305586,0,72097.6626640217,1825.43738116444,7734.99935804781,30928.4112555121,21532.7562382235,300872.357731002,18980.1799365566,53229.8470356421,20099.1316744729,3416.63715808725,34337.8540245205,203602.765862606,4820.31972093363,15149.0607007807,30396.5111164237,22853.5844869277,259893.489180362,32669.1537448538,5843.11126663913,28551.3705928763,105155.052652945,17048.2109327913,76622.7181280119,234746.215333286,55796.8525665176,38441.8428813268,19905.9553711326,10703.8947254908,60645.306573293,73540.5072138558,38440.9773214544,87634.9400646409,53375.8857359356,53379.8131190097,104515.929123039,7164.06056340183,47652.4407083996,236038.732762299,165190.56935811,195475.556153801,479543.947644926,154963.299260802,19722.5680345005,44810.5078120184,45137.2976600259,130787.935094591,171005.627757262,77448.4852233211,61464.5034223636,1776066.54630306,114353.590883251,11938.8416895707,57779.7113752845,37016.5356613436,25088.6767654766,64933.836889709,629911.820598225,452102.609999127,79310.9733309063,121466.086678558,71595.3176651714,96955.9724943067,16936.9094575866,52458.7803154888,28051.3572214422,334842.198795415,844898.212248589,81137.0522910217,499376.715149683,55257.3285937469,573807.807333917,20963.587998262,77956.2563005401,20952.5825686834,35637.5435051258,167613.338498238,2157267.02733355,108418.796230319,45907.5275841447,499090.179105241,13157.7774470406,22267.8180601631,4278840.28391048,10322.0762676292,42436.1151434352,47618.025881321,880.784444983951,9994.24996090761,524344.101901135,169071.635278033,75100.4455644759,94337.5830288366,12017.2667051509,208048.056275979,61688.2115769778,6259941.28079183,78508.7697236556,6328.64521045309,77415.4152444128,165830.306376112,1496692.41401936,2199397.8153989,1400427.04095087,19118.7260327802,156411.618609332,165234.090233567,5622898.69529233,56768.3957891947,4278567.48930473,166607.512343199,56020.6258096285,117604.800986668,2922383.49996367,155830.314783552,475.855297321368,61464.9148648358,2376.45128111899,277.097893486197,4355.17043412525,131837.807782269,2836908.51188573,31864.2690636931,2793.72586567756,37290.11204529,22237.7385943008,17640.0780132052,29135.545395567,142878.246297085,70413.314022815
"145",1166162.96393024,56722.3348495321,207195.658621407,152306.331254845,66404.2567811661,66064.4559441503,72097.6626640217,0,143650.474614382,192834.495052996,26163.1501055018,147467.542260311,431768.883849803,112196.512672604,69143.0653263097,245334.500191754,99303.790242579,173653.004076208,15995.0688747619,233898.603840244,184553.731200181,86827.2568922009,93434.1367751472,164021.527608028,104167.057723611,105200.490661195,674996.291653521,798362.986042312,636839.891242171,629812.400440813,462187.101033902,719514.31730867,590187.315045821,117480.489079925,684393.903901393,564952.013097037,123283.124003109,666962.219990126,582323.885661359,496979.49908188,688740.772874153,526005.883717452,173980.288779766,592960.121996682,468154.501732728,877217.16745818,431380.669332617,139849.584906076,453429.609321004,744694.569371283,780393.211792833,785324.155468473,883033.892027392,563069.115801687,801194.614207145,792671.382272894,1018975.69599529,28056.0960542767,765027.748325917,749664.721092192,779215.505617723,739178.062709733,840928.439454848,79463.9047204508,229227.506235779,748293.161481147,775403.582616371,683687.140017596,691526.047054203,636351.447313764,553033.051282584,663607.98757448,251349.288837393,256870.066139324,662489.882921899,56138.4121168782,508188.510355168,151683.76026616,684139.055202465,703227.134362196,688766.766748163,689038.039947316,540549.399625449,1378233.68661194,871138.572704323,659527.042841645,219796.830993984,710780.097219719,53369.4550000608,3917038.33217842,223536.620940096,445713.430704464,405568.283322926,70249.4176815441,381408.433161927,56763.2059088258,835140.853004716,353683.428915342,448541.807710901,165501.060454019,117322.662115796,300107.979821643,6148524.16627863,738005.729951921,253881.175421018,604948.583288047,844312.292834209,1099485.852817,1183158.42371059,427484.938317679,685414.200151892,768359.012885811,842217.018611805,4256423.40400018,433055.336663267,3232199.18953285,823134.191784515,670628.111131515,730660.207630514,2057296.27442435,779344.909988967,56933.7759047668,17537.4626976265,30910.6747339126,92464.3719997448,32481.0892700903,13930.9093862424,2085994.60629404,134759.715804417,98057.2841675151,187849.029337039,144408.235833223,68702.5105174155,134110.402298905,55915.1003974635,80964.4954690813
"147",328483.038906817,12172.6106000695,4332.74660138412,40109.5032853795,4323.85145836932,4331.18132444138,1825.43738116444,143650.474614382,0,2620.02625178339,57284.019894526,19426.4817193755,414131.789012398,28481.3793768338,68672.2636284273,19706.3201258922,14692.9008394438,15581.7563221734,281368.135495753,420.568977719354,2004.57732123479,37972.8161132188,12197.0603187929,221911.690932036,8500.9823312091,4182.17810536578,12423.2559659747,127529.96433464,34089.3608943444,62617.7248323204,230424.662577713,75527.4049884545,56156.9107003132,29129.8353458767,28192.5697300211,79114.7192671495,42035.5280733746,56329.7178785749,107836.175156502,70395.6869547908,72374.9037596323,94664.2078101666,3713.21185502206,34093.732710236,230186.30485223,191304.333788346,190260.12136456,489325.170807569,147921.577144399,38773.5632204088,64882.4356179654,65416.3494176235,154871.86997587,160522.86772896,99549.7323313772,82740.4372178897,1835856.19724165,47850.0115248884,31210.3538909901,77608.6822347646,57217.9215442078,7223.49315338548,86857.4818381188,645309.802904638,460213.444117557,100653.32451144,144161.338308532,90446.0545826842,117560.11711059,33719.4743987349,40380.8129157471,12209.9122092014,339257.556671493,882141.89272355,66508.2920010533,518167.084666408,44648.7401146952,562305.70322774,37783.0809723806,95700.8854782568,37476.4494874443,51743.3479116586,152533.253243048,2149444.55811396,127186.753632324,61547.1155274497,490680.889056054,31087.0191535797,25689.7666352233,4668812.27925647,12583.9472878336,56354.2961819078,63525.2677909762,10211.0323547893,20568.9649430225,510079.195644301,197926.972999879,91179.3374517595,113461.137292264,14208.4936896493,91418.8210105902,73427.5880933285,5729504.9965423,99990.3993800952,11102.9973708961,62360.710374521,187927.554946351,1489668.12968949,2211028.88907551,1403149.7708467,37120.9235412527,183832.936101112,187023.521642878,5578804.9517962,46649.6864261993,4367112.1021754,194925.169061344,76315.4026343033,142298.935604523,3101137.79172843,179723.196438851,4692.15766061,97419.2989078612,9147.52205914896,2389.71455551113,40214.7303906711,154484.345040882,3673762.40483878,47035.0753094468,0,21148.5449575721,9371.64958897295,28145.0709112319,47713.7770790475,185432.971522482,88596.5297458708
