"","1","101","102","104","105","108","11","114","119","120","121","125","127","130","131","132","133","134","136","141","143","145","147","148","149","15","150","153","154","155","156","157","16","160","162","163","169","17","171","172","179","18","180","182","185","186","188","19","192","194","2","210","214","22","221","229","231","24","243","244","25","251","257","264","265","266","269","27","274","275","277","278","285","289","296","297","298","299","304","305","31","312","321","322","323","324","325","326","327","329","333","334","337","339","341","342","344","35","356","358","359","362","364","365","369","370","371","374","377","380","381","383","385","391","393","395","398","40","400","401","405","406","407","408","409","41","410","411","413","414","416","417","418","419","420","421","422","423","43","44","45","46","48","49","50","56","57","58","64","65","66","67","69","7","75","76","78","86","89","9","90","93","94","97","99"
"1",0,17716.4021258579,15855.9830210622,18000.533812448,19734.9844521353,16029.1146711514,7793.08769743639,14612.9570134611,21224.3621240112,20997.9476771848,21487.5437847388,17517.3190996336,7405.00591731886,33950.2199924063,13608.4896870782,24743.0119209046,12944.7111115989,7446.29118197467,7482.96285530474,4253.05161117518,6619.48862654146,14742.8759752546,3743.39218880454,8500.69523915144,12111.8775595708,11943.2404855365,6419.43451377447,13363.9824536341,12884.4254258305,13776.5606465669,7894.27387732577,4151.72956927056,20198.652171703,7645.86336247022,5510.48018355339,11505.120386805,12172.4102293208,26560.8532901598,13478.1477586491,4591.36146336373,6036.89990746659,37125.2743445068,10171.5824680475,10070.3049686489,1436.28998439058,15156.4405998413,11756.1946988859,6672.08112373907,12207.3358747786,74828.2512034925,2261.34008897863,80113.7778472228,63639.0218846337,15717.5796274184,64802.0802723617,58556.8219303407,62482.0104971776,14949.4715148344,55674.7698773636,52598.9715600224,3433.16354653517,73620.7226717479,70001.1194741791,84947.401279675,83181.1374752762,87977.1143102094,85320.0689664413,9891.15908726692,86999.513194316,86136.3989913635,87868.4879645538,80711.1433157841,69500.7174097913,67194.9557347038,66352.1662457513,66655.9929808906,85032.1636705234,63217.8239349,85590.9710217575,80945.3889703223,7650.29638963666,77940.0168384664,80505.1497171432,78578.0069463929,76971.6497064224,82235.3020054944,85522.9684759066,82172.3503927462,82285.7434876372,86599.0533111172,91040.4012941693,90468.603193926,74751.3366040483,85710.7246457725,85983.3827907419,85792.1371815005,92909.3030924108,7111.78578136765,43438.1522415436,44164.9705654751,43584.9407028981,45379.2942030766,46916.6905991865,47426.8659647475,46480.4935107335,46619.1429588198,49187.4039948149,46561.9679532492,43321.0433162331,42092.4907727824,41825.7257597124,42074.104444373,38873.3225561214,88512.166924536,41611.1487612049,51348.8015878367,128592.844166586,8529.27390765576,34204.0428353477,46631.1451727669,27535.7538515704,84836.6080294608,85318.3527453307,44121.8184552169,81916.8288147089,16741.8656774681,113948.87014115,111961.571968879,82271.6725021714,84957.8136367391,63629.7676593086,106261.248571569,87240.5704675955,81097.0947720251,81923.6770418177,82650.6578783046,81159.0345378107,84733.9936038241,18097.6574009719,17629.7625515135,11589.9487191061,10242.663212287,7525.80776420475,10923.2490392063,17083.6595040583,21539.3073514332,23421.4627223062,18078.3839559049,17390.4949513274,6487.20198808634,5743.84547130846,38507.6835846269,39163.5117763822,11873.4770499826,7484.81918402407,26316.2493354427,30564.6467288028,39466.5869007539,43102.9018006189,9012.43780844422,29060.307819976,3026.085056574,24300.3895236968,12551.5491278966,18413.5806413261
"101",17716.4021258579,0,2945.71423066952,1541.82454943073,7581.05603125863,8992.52452838505,12036.0438067819,15033.7777440822,13584.9581919512,18865.9027534895,16761.7207725206,27636.9547846841,13903.5228499018,26709.8502487159,18636.8810190861,40229.6637785138,21540.565329492,14023.2771792838,14061.0653520646,16251.5548127868,14655.9721329687,13903.7757128625,21331.0595960085,22892.6518280826,18660.4443925524,12897.4681753802,11684.6448961375,22617.0770433604,6607.49817689029,9223.31554405499,13341.954387985,13948.6623312394,35591.1902130534,13673.800887382,13515.5791100058,10379.1180589906,29819.0883593812,21018.8971079417,30808.7987886808,22288.3595237913,23374.2184668464,19454.5555687031,27049.2632583559,8964.20109748651,17674.7079455486,29026.6350121439,26353.550067894,24044.0736391403,23996.91899088,60832.9451360598,19432.9028961895,65027.402446656,49664.8397906241,24134.3227666045,49056.3925992198,44161.0497974235,49167.9762327843,32408.0962448084,40815.3570890805,36928.1399993904,20035.0400815708,59056.675367016,56188.5961149032,71200.9615975609,69155.9927265843,74196.6402910125,71275.7029632331,27603.2283294955,72747.1087050181,72058.6843285663,73938.9125345111,66011.598365533,54858.3265020182,52607.3361342916,52416.319548937,52244.3846078037,70396.1478309254,48758.425496932,93704.682444273,88786.507970514,13794.0517379951,84707.406266919,89341.7381868786,87756.2832679262,86573.6522055654,92406.1392195336,93082.5486126882,91988.2798614315,91664.8866793615,95490.6671423806,100267.013996428,100265.148279796,83321.7155899366,92712.1115363149,92490.0743459978,93271.1841130885,101792.571459954,20007.5585523575,29440.5273468987,30818.3017401538,30380.5920650875,31624.65140495,33420.3395124261,33675.5394052406,31684.9452168622,31916.4139946721,34176.8894259172,31117.3119890942,27305.6164008922,27398.30299867,27424.0902117121,28064.9405705039,24853.8708861476,88123.0930138496,46011.6082683426,54216.3055714909,139079.677799453,25375.6818189324,41436.6183805497,61611.1495427568,40504.2300251501,90024.4784774897,91010.4200034407,54328.1225629854,81683.6441989747,18461.1113702077,120183.561001816,117781.282868847,82157.913944935,90858.3076430506,68229.1019830577,110912.61158103,87180.4256614397,81952.363936262,82018.5546479195,82209.1172433243,84476.7364471184,84393.4744987733,20259.3922237709,18973.6301933314,14404.7589551838,21146.5263097231,13991.5834237138,13878.8654203453,26223.8939230663,26538.4842019895,26355.809086333,24968.0621862908,27342.1826854231,24202.4048174295,21403.9148823479,30451.7937856484,25532.7257568758,6097.28092879254,22914.8469794782,14765.6084460385,16611.8022668433,32738.8108269697,38217.8684782758,12817.378563029,25567.692681417,19276.7925910092,22162.6561308449,5405.99306242235,3994.67280909009
"102",15855.9830210622,2945.71423066952,0,2314.20060257906,5966.1228791359,6242.69966980565,9476.36710269695,12103.0373560388,11380.6132421836,16193.9466888682,14287.1685286174,27542.9994790847,11268.6345834602,24943.0978145469,18914.4808710562,37577.4880947514,21430.8391877153,11379.2154299708,11411.7204609935,13891.3728828931,12078.9303171351,10985.3077738213,19327.34469651,21876.0750884299,15750.874656317,13200.2895308553,10320.2823154142,19731.8169854655,6856.9103377062,10029.9911090587,12728.899654009,12419.348013838,32955.5423484451,11021.7454100063,11188.4388474575,7482.6680208038,28028.3684977931,18824.8008347636,29214.279213631,20345.4145990495,21243.0575326681,21367.6050037459,24741.261178275,8415.80710925072,16016.0783919757,26304.5030382587,23735.2658228303,21912.2243487106,21208.2622387496,63770.5221804155,17753.1516657678,67916.1767123111,52606.2061763194,21209.7453200662,51903.0440750599,47095.6355394493,52113.5073873148,30225.9782124712,43735.7417648684,39799.7805375979,18491.6830321454,61977.0897336025,59130.6987591118,74141.0258906053,72090.5434482028,77135.5229460669,74209.1916190982,25717.0438104535,75673.8664599089,74991.0539090347,76874.6457904894,68922.3868325251,57777.7081160936,55530.3384984982,55357.4915772107,55174.0072720472,73308.0762721225,51688.3832513319,90812.6009639337,85901.3369254714,11136.7030673343,81863.5035731797,86425.5639889263,84831.206085312,83639.8555877682,89465.454994359,90210.8072570588,89052.3266659187,88736.7969617096,92575.4560686427,97344.8902090996,97331.2776754212,80409.9250113897,89863.9456858371,89665.2807385961,90402.8170416803,98879.8135692919,17419.3036391198,32386.1911256341,33757.5169156219,33316.2470410951,34569.7002311666,36363.718816299,36621.0079905445,34617.4538364067,34851.5907119798,37097.7414836646,34017.9676570587,30164.4808888276,30338.1761784029,30368.5905469128,31010.4523481183,27798.2722638939,85836.082276982,43212.2773094665,51544.5690251105,136140.136584068,23908.075395192,38514.9616910816,58842.1784452044,37646.1531227078,87270.6292973775,88227.8147456499,51382.4438179358,79366.8503711851,15549.8942296397,117391.317571218,115011.595682335,79829.6798546776,88063.8890484683,65479.7180151586,108212.907285869,84856.8757120691,79526.8202610572,79668.5032230234,79915.5358238818,81843.9905128825,82093.821030212,17359.9849116601,16083.7758616613,11481.7470986978,18370.5292482888,11340.1806935878,10978.7995040931,23301.7588655124,23616.4163218908,23500.9935339253,22022.5741336402,27267.391078669,22285.1506203445,20094.6523653979,28903.7155859866,25284.0473352041,3988.65993555534,21707.3995292925,13576.5621066405,16296.4336644864,30990.3615165014,36252.987971513,10056.3594850042,23221.3523608998,17755.6618949034,19586.6095066159,4760.27729119314,6547.21545771311
"104",18000.533812448,1541.82454943073,2314.20060257906,0,6044.69882236189,7758.90534803345,11788.7138759774,14005.8542733438,12093.917768818,17522.2480516149,15333.6298211815,28770.6261682076,13582.1593639117,25168.1060576794,19875.373040482,39884.9802735799,22658.5718351525,13692.2488151675,13724.4179785234,16181.1600789585,14392.8676503256,12843.7976585038,21528.5290034014,23643.0801343915,17924.5647729257,14122.1855661277,12223.0907494527,21935.3308256164,7746.42027747026,10567.3139034074,14237.5176418789,14413.148506566,35265.4621461713,13334.4095945309,13467.5454388911,9701.38269745304,30162.291194293,19513.6496220258,31269.8323133065,22527.2941869731,23485.2550884704,19143.6687808162,27028.0060001844,9846.84133069004,18079.6344455175,28600.0646884806,26047.6257412243,24155.1613464594,23482.5791702396,61719.2446980036,19829.6385644932,65749.3785455608,50579.0595787333,23343.9900559142,49691.8132013259,45035.0715227043,50163.1224593648,32486.773076432,41632.0846932896,37617.2305420035,20510.6932104669,59868.9667924509,57107.3448246546,72101.5086563522,70024.6085359608,75088.9632128098,72138.8002624835,27884.3593143597,73580.8213569546,72916.38665111,74813.0451680036,66791.9843431426,55667.8530869667,53430.0666442072,53328.3188141197,53093.1955740174,71179.4128060089,49609.5278831176,92535.2915701604,87605.7464362154,13448.9427388177,83469.7365423762,88223.2826145127,86662.7534369505,85511.2711986287,91378.5527422677,91880.5471123695,90934.8574731243,90580.6891692898,94369.2291330954,99163.5729856322,99201.8434202363,82193.2778243936,91478.7638927943,91230.2654302864,92064.3131795596,100664.672180881,19733.4268108336,30438.6581641401,31886.7604055402,31467.7821948025,32639.7125184039,34456.1978874496,34679.2832209177,32554.4195998623,32798.9742610135,34998.0888090141,31878.6158936938,27972.6322667376,28312.1255172992,28381.3419812822,29071.2981842623,25885.0517813012,86619.5357380834,44735.274792363,52845.8988864763,138042.150021816,25902.0112754279,40343.2606877898,61116.7790386431,39868.1994109723,88702.00754443,89710.8512651852,53380.1464149895,80186.1549050753,17367.1612195578,118890.353207112,116469.162145118,80662.7303665578,89569.0902430197,66905.9495612457,109551.941825872,85683.9857787252,80480.4510225535,80528.0523748057,80707.0929688934,83081.2619344331,82892.4738429549,19136.3506686563,17836.1513263178,13638.3041812124,20652.059005359,13652.7669110768,13178.5686486446,25439.9601638703,25457.6259568851,25153.2726311299,24045.3294102823,28482.1106123292,24460.2643444922,22007.5724968601,28915.5803871683,24219.9528479247,6148.80409764415,23572.9811800713,13248.3963882533,15262.5678282191,31197.0155473992,36681.3259803451,12351.7454844467,24089.2335700777,19763.0702813971,20763.987092958,6164.00700413196,5512.46752548175
"105",19734.9844521353,7581.05603125863,5966.1228791359,6044.69882236189,0,4434.25347025404,12183.0180843998,10637.7998666139,6238.82716463135,12323.0964857098,9754.90094973062,33187.1901433979,13436.146922054,19151.333694629,24778.1500723806,38527.6811156081,27106.668566593,13494.1480770101,13499.9275306011,16742.2719684073,14382.6883449027,9438.0527700891,22762.5437808493,26795.0049574753,15611.9847913467,19106.981799288,15255.5514004252,19638.7547832884,12812.1832939467,15993.5392363017,18225.2315883917,17017.4229015524,34058.0488537763,13147.8427292545,14380.4404312581,8750.63804949429,31664.3821695011,13545.2505001286,33190.305176358,23872.3250032367,24312.0676824963,19671.7153417435,27222.3921460839,14100.5572271678,20237.7574807623,27134.9838750197,25149.3023228077,24956.3630589382,21827.8262063854,65849.3118669165,21868.6067567648,69304.5563898719,54842.6904511879,20520.6196436177,53021.0594851188,49194.4818835819,54691.6253917616,32927.6830827342,45625.5201628652,41223.037197257,22799.7259022985,63755.1474110487,61360.8192544647,76252.0723249468,74071.6368179765,79204.9969286476,76161.8265996739,29209.20110251,77499.7324568756,76919.1260504726,78867.6228752679,70545.8602863733,59561.0311951265,57377.3632705128,57573.3206006395,57129.3349084573,74930.5525633636,53669.3519888499,87689.4144834556,82722.8288070295,13224.8553599623,78380.3864946109,83572.8191734175,82108.3617525244,81076.5802297121,87067.2857291029,86914.4943568181,86526.2557754451,86056.2368383666,89700.2719992087,94556.8416341142,94745.6710751254,77513.427320567,86397.737288006,86052.80629884,87080.1178933319,95965.1508073077,19246.9969350766,35093.980860683,36739.8610428687,36379.2824943077,37327.1265104784,39193.0893818497,39316.7145956124,36794.2312973472,37077.3073067004,39060.6934045216,35783.2363845631,31631.783010676,32735.9324596275,32935.1468287988,33764.2587303374,30684.4897787054,80630.3767801034,39572.7998691512,47306.615916489,133650.622272098,28189.2058350259,35938.4332074464,58975.1030546511,37337.335746333,83300.7015198595,84390.7597619475,49480.9201971407,74213.1848298336,13419.8087389166,113577.626245382,111090.785020362,74695.8772402501,84286.3547472989,61520.9966674934,104007.496373681,79713.2816341356,74580.2398246513,74574.0156853802,74722.2544440203,77428.1056456697,76910.0810304106,14965.7000648456,13652.2057209815,11579.7837302822,19212.5573921118,13428.3791676,11481.666777478,22574.4179325717,21294.2462725082,20454.6081898322,20618.4642975626,32924.4527472449,25802.8139039189,24692.0000341092,22996.6844114381,19807.9193515879,8897.85448054053,26400.4894352654,7634.15053314251,10940.0220672468,25190.2509868116,30636.9778377343,11789.837074296,18208.3063316681,22122.5656385329,15242.6725749961,10599.7716249471,11552.6707637944
"108",16029.1146711514,8992.52452838505,6242.69966980565,7758.90534803345,4434.25347025404,0,8261.29527202387,6523.67957140051,5974.30770021773,9955.13228996059,8228.35771193536,30852.34123106,9250.2314590696,19811.1501746983,23090.4520261178,34107.8678717765,24912.7776488325,9290.66301848519,9288.62782374065,12668.3020647675,10203.1795749499,5313.9385655172,18784.4422654903,23651.5617562485,11241.9981518446,17722.290297828,12506.7392142016,15292.9176779541,12004.5032828194,15328.0439763017,15966.0321389106,13879.9939948011,29627.8976272429,8961.11991007521,10536.8242761667,4598.35376414016,27673.6615343771,13098.6357011731,29342.0791779799,19915.8303195659,20179.5636202354,24055.2691610188,22913.4395208679,12379.9863194198,16717.3049564573,22711.3416800235,20720.1600410847,20809.1991725559,17407.7880371285,69268.0234499056,18242.9832640035,73031.2397854255,58171.1677298834,16312.8755335546,56833.4667355026,52582.5976818462,57839.6959359639,28639.5225110489,49105.7729211612,44894.7715353618,19271.7270643778,67311.8164327303,64700.2270609577,79663.393830863,77543.9551067313,82638.5411423434,79649.0540756623,25180.1674315536,81046.3396584652,80418.3663321183,82337.640391739,74176.3465541144,63110.7834995048,60895.7526755718,60915.644505155,60597.4351803785,78564.891445034,57120.7784501231,84777.2790472171,79846.8890434486,9023.90325833536,75724.4018617391,80482.0095356916,78936.7115820471,77810.068452491,83710.8385015705,84123.1314196747,83241.086845637,82861.0021987777,86626.1381254507,91430.1668095007,91498.1845891491,74447.4775986255,83731.3615111449,83499.4727110476,84307.8180039532,92918.3257345046,14877.5498831135,38131.3294346218,39622.1456422698,39211.485035897,40342.8094945051,42172.0468991036,42372.4041324163,40116.1761110918,40375.8588508225,42491.7208806785,39294.3427484909,35254.4255748629,35932.4576915036,36043.0631530277,36771.413310357,33604.4590142678,79800.6038427029,37019.166052002,45301.8988824929,130359.137705059,24557.0647462754,32627.7800120475,54678.0827278783,33105.3783913526,81046.7548460574,82021.3636610994,45837.9381901335,73307.5554269034,9695.77279195616,111192.55427102,108796.76200377,73760.3244714711,81866.7759034315,59253.227807906,101972.570465806,78789.6538443107,73381.8397914324,73580.9173060336,73876.6009754827,75604.2203915116,76048.5045839816,11420.4523236821,10109.9049560824,7150.0208598711,14778.9694468908,9219.69807079327,7052.20547729773,18392.4506404861,17771.7390824073,17394.542165691,16649.6070700397,30616.3948080301,21817.5844762501,21324.9790363168,24082.4499982255,23134.4450406286,6988.14184799241,23076.0590310262,10309.372826427,14627.2163465309,25795.3965270205,30679.1456405997,7550.93594532668,17227.6485340114,18647.8816469665,13387.8217297056,9545.54804621913,12786.2936729346
"11",7793.08769743639,12036.0438067819,9476.36710269695,11788.7138759774,12183.0180843998,8261.29527202387,0,7824.4077945556,13495.5359403535,14226.6164349636,14148.1787033454,23819.0349823722,1937.28651561718,26623.5738957098,17380.800360342,28196.8774733712,18269.3599338895,2074.09220822805,2124.01347842273,4599.1155925829,2619.97134916983,7562.97797993761,10584.8787826691,15774.1027928153,8076.49991972693,13128.3839063583,6110.81844976928,11438.4680382783,9997.90835734449,12594.2719841188,9934.55735238685,6430.99540692656,23555.9472374308,1771.3391591391,2283.22228307028,3712.13301356023,19488.7310464367,19326.1504346219,21091.1849820016,11702.3447006183,12167.0186674907,30685.0751121233,15368.7714119287,8342.84881256125,8595.92633300122,17058.2740271727,14317.666148185,12820.9452591389,12214.6112250927,72158.5039318941,10031.6218533071,76741.5554613751,60940.5664109448,13410.860860179,60925.8514785846,55574.9751082589,60168.7236919056,20968.1174108378,52384.4077423688,48744.8210508015,11111.6807626157,70586.1248534151,67427.0578319821,82459.1519420983,80515.4189883113,85475.0005518056,82647.2135095806,17026.5239493234,84197.7760185886,83444.2859410744,85273.3648456776,77603.7682622996,66403.383353654,64125.9946185217,63688.751600447,63697.9831534794,81975.5827333949,60216.5482443022,84370.1913996508,79565.2263984161,1899.72602797239,76008.6274195427,79644.2989702325,77893.8938262154,76514.4910404535,82118.8748656371,84019.238871736,81854.7964262504,81726.1594409348,85790.935174102,90427.501432238,90167.2477190129,73722.7642313589,83929.9852890622,83963.2635359165,84248.9984219132,92117.6980177519,7972.45679607144,40580.2145350546,41681.0876212999,41171.3799858926,42681.6985402594,44381.3665747726,44752.2191483781,43175.296589371,43372.644414054,45764.4487359008,42837.0654369048,39179.1151023612,38810.2950263491,38714.8565924259,39193.2146488615,35942.2930153093,83638.8423965018,38197.7893182057,47427.1401498504,128757.747861325,16319.7276071319,32027.4114387948,49671.3892883041,28870.3640590786,82194.5579759708,82910.2343523533,43795.9765338732,77065.8905806642,10835.1529628228,111891.113798167,109704.995370866,77465.324697496,82645.3207586845,60588.7562271036,103460.141041235,82478.6339771013,76639.8923496233,77190.6112274651,77729.7883741313,77680.9698421412,79859.6241090863,12559.5892055811,11687.0837564487,5076.263154279,9366.77897729344,2064.32537282635,4244.42445245251,15369.380392448,17674.2505694755,18695.9431600523,14998.6919526551,23624.9371910654,13625.5866099692,13267.7225857456,31124.9678600156,31385.6150271219,6044.8141972819,15034.4947479981,18526.5720995331,22861.9188709954,32337.5929041331,36448.4579883545,1904.94509422212,22394.2192767061,10535.2939980833,17767.0729958776,8249.15863744467,14182.5958772737
"114",14612.9570134611,15033.7777440822,12103.0373560388,14005.8542733438,10637.7998666139,6523.67957140051,7824.4077945556,0,8025.44486982289,6458.55530976817,7040.75592421984,31530.367829232,7299.5415208566,19376.2132397971,25156.4837939687,28238.7628964227,26079.2927214853,7230.76210006912,7185.58989874056,10430.9285046457,8000.36827788573,1212.58301973169,16224.0251926384,23056.7214474776,5338.60669960187,20578.1040402203,13859.8262667379,9163.01116712374,16137.5159312421,19255.550514608,17694.5043327772,14210.3015695695,23914.6610283357,7105.63549908174,9633.35895099616,5570.91650152071,24634.944638327,11973.1065276745,26703.9579009478,17351.477480406,16932.4952976242,30253.4551761429,18699.1993721444,15384.4646325224,15746.4999742188,16958.1988963314,15522.7286308326,17465.694673961,11694.5739553933,75699.6424701483,16835.22584667,79543.3456827846,64575.0498758362,9883.92661861772,63355.749626481,59012.7958593746,64165.8405971065,24384.3597307647,55568.1831983106,51403.2621077976,18042.5272014128,73788.1849825824,71104.1102212545,86088.3118179008,83991.3580191439,89070.7470575225,86100.8521392892,22095.5212329871,87516.4220065807,86873.9042038763,88782.8883241771,80669.8608242469,69586.5402121002,67363.4185170844,67323.0315228372,67049.8014307391,85058.5684619472,63569.5079787487,78756.1379441813,73860.5487010112,7068.67798777404,69932.4267991927,74329.5805313722,72728.6216745974,71539.9119694918,77382.1143199176,78201.2070804332,76955.4653835048,76633.770039254,80480.3884306012,85243.6387042987,85231.4093193507,68319.5676070677,77917.2962625572,77787.1616863481,78401.6853779578,86787.5152174136,10679.1205702621,44438.9225358265,45849.8658667757,45414.293514658,46634.7010023149,48441.7022949544,48678.5068620259,46535.8497540862,46786.8069190905,48944.5310979461,45772.3190098533,41758.9064350116,42312.8938858318,42387.1800581919,43068.83003655,39871.4035880577,76003.5391668607,31492.3660947424,40306.7874778332,124051.777802148,22718.7657041245,26415.5306078391,48356.9138832752,26700.2806881497,75625.5401609947,76484.7531813838,39388.4404636418,69444.7486089277,3527.17655832774,105600.598217276,103293.360376913,69857.9482099071,76282.2596222484,53883.6029455622,96734.8813119921,74879.6650677167,69158.3664906747,69607.8673006866,70086.3111672721,70648.9946701432,72227.939620445,5381.67388255885,4216.17462858585,3023.69958574629,9456.18469555873,7154.30370058911,3742.15174620233,11937.5542924384,11519.3771398178,11680.7131897953,10129.1815643171,31349.4454825353,19039.2025253663,20353.0121329331,23951.5792573658,26475.2249127781,10960.813039524,22097.7402029724,13914.5279319961,18996.0244287974,24855.4624371437,28696.2378808926,5994.51049636044,14621.0004614545,17610.407232226,9950.87302839825,13808.1200433891,18479.704716301
"119",21224.3621240112,13584.9581919512,11380.6132421836,12093.917768818,6238.82716463135,5974.30770021773,13495.5359403535,8025.44486982289,0,6616.89654965599,3703.71401799862,36746.4256419842,13943.4312537785,13849.3706136822,29064.4053370312,35941.0902719973,30848.591097159,13936.5980444249,13914.254624938,17413.4899966885,14845.9405746209,7195.48023719896,23516.8778600743,29230.7753731299,13318.2475609621,23667.2598043536,18382.6979441616,16902.0333245316,17785.4870967045,21100.8709115891,21917.0760773557,19579.7105584517,31743.6886932512,13674.1933351014,15746.8743560351,9842.58405671482,32229.8984169993,7453.99765652327,34132.1280058028,24662.2715284488,24549.6819307941,23733.8364404202,26640.6234600565,18342.2881303815,22090.8145768751,24817.7565165347,23540.1586911372,25127.325144779,19627.9520195384,71561.1806442373,23482.1370813816,74681.2133874277,60646.2325271982,17111.9377109574,58317.2667288284,54962.6042271916,60618.9413278155,32354.3480848029,51323.9094031221,46741.4883680436,24593.6231766145,69338.94881924,67145.0914426578,81957.4172084156,79723.9226338202,84887.3767786626,81797.3897200573,29692.8819467255,83074.2501953592,82542.1306016607,84516.5842287902,76038.1397536606,65159.5933921506,63011.5197962107,63361.3498884077,62811.529511911,80412.0403091165,59373.6213279313,81768.3380159539,76784.2001641748,13696.689719847,72333.1383079212,77774.1552070967,76373.5009629643,75423.4572417425,81491.3570136882,80926.5637899948,80883.7527896818,80336.4960118754,83884.0744950046,88775.5663013669,89062.0138156201,71702.8769133904,80350.177026717,79959.1714925653,81082.3185526244,90125.0536414255,18543.3732178486,41121.7149947235,42830.6054057841,42489.317373106,43359.3740347437,45238.0716330926,45324.600950081,42648.5546048654,42947.0638703086,44822.9620831252,41489.2853577902,37251.8630455442,38686.495746239,38934.1286388259,39809.8258206017,36775.5540302635,74541.7406062922,33534.6849218398,41093.6042531082,127982.158191857,29695.4910821732,30469.0571948992,55335.3658266868,33597.2656219521,77118.5037011732,78237.4047038557,44332.4135976762,68098.8418208689,9354.55445402071,107420.861703482,104911.483179875,68572.9817117368,78147.7938322063,55351.531776137,97784.5598940211,73595.4835197858,68393.8214891313,68435.1504868686,68626.4898711431,71191.163389126,70810.096960159,10404.5373767222,9224.96392359678,10421.9551273573,17479.9793650627,13857.4623658941,10782.5718261965,18985.1181228313,16337.282651125,14964.4240088439,16515.4553104861,36517.412465832,26473.8474368261,26762.9392105078,18110.1450257536,18508.8769369817,12929.8896778656,28529.3545560462,5911.42548178021,11072.4009992316,19854.4296041216,24905.3139805167,12253.0403412913,12002.0241243845,24029.6462928437,9109.29176095291,15358.4324332112,17577.7931155736
